subdivision,year,month,rainfall_mm,date,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_stress,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation,rainfall_zscore,rainfall_condition
West Rajasthan,1965,FEB,1.3,1965-02-01,5.499999999999915,22.0000000000002,341.40000000000003,4.862393162393162,-3.562393162393162,-73.26419405870979,3.562393162393162,0,1,4.862393162393162,7.808436269959677,0.0,39.1,117,1.6058833601428764,-0.45622363290563916,BELOW_NORMAL
West Rajasthan,1965,MAR,3.2,1965-03-01,8.099999999999916,8.8000000000002,344.1000000000001,4.011111111111111,-0.8111111111111109,-20.22160664819944,0.8111111111111109,0,0,4.011111111111111,7.750392401387102,0.0,59.0,117,1.9322307925895823,-0.10465419931072714,BELOW_NORMAL
West Rajasthan,1965,APR,2.7,1965-04-01,7.199999999999915,11.4000000000002,346.40000000000003,3.5418803418803417,-0.8418803418803416,-23.76930501930501,0.8418803418803416,0,0,3.5418803418803417,5.872939687393819,0.0,36.1,117,1.658141755369394,-0.143349052892102,BELOW_NORMAL
West Rajasthan,1965,MAY,7.1,1965-05-01,12.999999999999917,18.5000000000002,339.8,9.53931623931624,-2.4393162393162395,-25.571185377654334,2.4393162393162395,0,1,9.53931623931624,10.881096842412454,0.0,56.8,117,1.140657943340433,-0.22417926010990427,BELOW_NORMAL
West Rajasthan,1965,JUN,6.0,1965-06-01,15.799999999999915,23.9000000000002,320.40000000000003,29.13162393162393,-23.13162393162393,-79.40382584203732,23.13162393162393,0,1,29.13162393162393,23.144890884690945,0.4,143.2,117,0.7944936725468961,-0.9994267869685318,BELOW_NORMAL
West Rajasthan,1965,JUL,128.0,1965-07-01,141.0999999999999,148.3000000000002,309.5,96.1059829059829,31.8940170940171,33.18629717904024,0.0,0,0,96.1059829059829,53.445688337108095,2.4,234.6,117,0.5561119788909722,0.5967556614267168,NORMAL_OR_WET
West Rajasthan,1965,AUG,52.0,1965-08-01,185.99999999999991,199.0000000000002,221.00000000000003,94.94786324786324,-42.94786324786324,-45.23310138717604,42.94786324786324,0,1,94.94786324786324,66.57975719894743,0.6,325.3,117,0.7012243869579212,-0.6450588745694946,BELOW_NORMAL
West Rajasthan,1965,SEP,7.8,1965-09-01,187.79999999999995,203.60000000000025,212.40000000000003,39.92820512820513,-32.12820512820513,-80.46493706652967,32.12820512820513,0,1,39.92820512820513,38.93558749363879,0.2,203.0,117,0.975139938512659,-0.8251629729088886,BELOW_NORMAL
West Rajasthan,1965,OCT,3.4,1965-10-01,63.19999999999992,204.3000000000002,215.7,5.194871794871794,-1.7948717948717945,-34.55083909180651,1.7948717948717945,0,1,5.194871794871794,11.70838077495572,0.0,78.3,117,2.2538344038661062,-0.1532980374802153,BELOW_NORMAL
West Rajasthan,1965,NOV,0.1,1965-11-01,11.299999999999914,197.3000000000002,215.80000000000004,1.6435897435897435,-1.5435897435897437,-93.9157566302652,1.5435897435897437,0,1,1.6435897435897435,4.502573681937167,0.0,34.8,117,2.7394754071068563,-0.34282387199616826,BELOW_NORMAL
