year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos
-0.5096768,0.0,0.06794545,-0.09055412,0.009388313,0.061905865,-0.08393643,-0.13648392,0.06466631,0.03506666,0.004307224,5.900742e-05,-0.047031764,0.036413617,-0.051841725,-0.034015283,0.039322313,0.11347036,-0.019356716,0.019682279,0.058574058,0.7859795
-0.5894138,0.0,0.09090155,-0.03938399,-0.01599115,-0.047840156,-0.13837194,-0.1417938,0.02007427,-0.01334983,0.0064021503,5.8624315e-05,-0.029961366,0.0013802047,0.01905605,-0.0013377125,0.008890327,0.17374869,-0.114848286,0.014152091,0.18851864,-0.5675008
-0.56018925,0.0,0.035128765,-0.004785006,-0.034956653,-0.09771902,-0.7850772,0.066300645,-0.024543405,-0.052094467,0.002793659,5.8828227e-05,0.061603162,0.015772145,0.012295164,0.050901398,-0.01338759,0.060064457,-1.2434044,-0.066091925,0.059037864,0.5236557
-0.42340535,0.0,0.05068776,0.004323541,-0.10276584,-0.0017566266,0.14421637,-0.0043406244,-0.22780202,-0.038766343,-0.18285984,5.9218237e-05,-0.062346566,-0.022061573,-0.061824817,-0.13753463,-0.0807014,-0.0055796276,0.14235306,-0.004109841,0.021720514,0.55012435
-0.48224512,0.0,0.06477879,-0.014340442,0.012384092,-0.05230227,-0.062344436,-0.13502026,-0.02305072,-0.030731412,0.0016023597,5.900742e-05,-0.031421628,-0.0122397505,0.024685653,-0.05212564,0.030089922,0.15721053,-0.010054248,0.031657998,0.050905194,0.751894
-0.44237554,0.0,0.04425655,0.004038639,-0.10983526,0.008100994,-0.12690154,0.050064776,-0.038795505,-0.04224797,-0.046853732,5.902269e-05,-0.034635384,0.0021714887,0.0126137715,0.018864486,-0.06329486,0.039139714,-0.36537996,-0.097461544,-0.11211494,0.25888073
-0.12818883,0.0,-0.37352946,-0.031121876,0.0145943565,-0.003670713,0.32799858,0.14051232,0.030547626,0.01554454,0.005199897,5.8720405e-05,-0.21234538,-0.07163463,-0.044095594,-0.06683995,-0.13265929,-0.19759071,0.42946115,0.016013639,-0.051026713,-1.4108161
-0.75411195,0.0,0.0666759,-0.12802173,0.006763336,0.02838889,-0.17574221,-0.07124864,0.024818119,-0.059297264,0.0075440877,5.881296e-05,0.060178485,0.0049228873,-0.06542357,-0.054102365,0.045967918,0.16680531,-0.52657557,0.01938299,0.0715777,0.7184234
-0.5807919,0.0,0.055097558,0.022928532,-0.015634371,0.0167448,-0.0878812,0.07872114,-0.0029683537,0.039580993,0.0015237562,5.900742e-05,-0.03294528,-0.0047698924,-0.050243348,-0.010238129,0.054510966,0.08591876,-0.36314818,0.011576235,0.05057152,0.67980707
-0.5521347,0.0,0.06714957,-0.03888734,0.029014943,-0.0052983095,-0.1315042,-0.41023213,0.046970654,-0.0147743095,0.0038834852,5.8775076e-05,-0.01813734,0.013539792,-0.0670737,0.02526643,0.027992086,0.08362734,-0.31596282,0.0026172705,0.017353192,0.46318245
-0.51887447,0.0,0.057791553,-0.015550075,0.028293395,-0.0070919925,-0.10064034,0.045312777,0.0039015312,0.026020773,0.0057778317,5.900742e-05,-0.041257735,0.008368411,0.0009785013,-0.041552197,0.015058596,0.12763597,-0.115862586,0.044708148,0.014409365,0.37261486
-0.36858624,0.0,0.049533773,0.0574342,-0.031936478,-0.0039518923,0.118065506,0.07914989,-0.03332912,0.03576522,-0.02034751,5.8818776e-05,-0.066412695,-0.00060651894,-0.049472537,-0.03871494,-0.09060761,0.018406976,0.27749562,-0.07362012,0.011482264,0.52996314
-0.27825204,0.0,0.059050832,-0.042687383,0.02555704,0.029039072,-0.30438286,-0.005550526,0.028160581,-0.023982456,0.0050096675,5.881296e-05,-0.0043764324,0.031368375,0.020756606,-0.028241433,0.04092344,0.19943014,-0.27264312,0.009431086,0.07664429,0.7935411
-0.28595406,0.0,-0.3848108,-0.05194212,-0.09622857,-0.0037865546,-0.24308611,-0.18846473,0.0010830667,-0.049839962,0.0038035575,5.8729853e-05,-0.02330658,-0.05670412,-0.20166016,-0.05023916,-0.15522976,-0.16322468,-0.48096585,-0.04626092,-0.15600666,-1.4437433
-0.43057647,0.0,0.04662544,0.040622663,-0.031427715,-0.0075504715,0.115222074,0.11172365,0.01377759,0.04007098,0.002664817,5.8818776e-05,-0.049745187,0.0136093395,0.0018024622,-0.040540967,-0.047113832,-0.003982498,0.19254164,-0.09906728,0.016875803,0.5427496
-0.10686449,0.0,-0.22920772,-0.021839852,-0.16452537,-0.037363198,0.010542042,-0.016492505,-0.006902807,-0.028242642,-0.028208064,5.8828227e-05,0.2670568,-0.078639865,0.009265459,-0.021280607,-0.2221564,-0.03634902,-0.15024354,-0.058905695,-0.14013913,-1.1917744
-0.32902074,0.0,0.061544333,-0.010747068,0.018372772,0.040931486,-0.3952487,-0.11823192,0.0046968944,-0.07847294,0.004887358,5.900742e-05,-0.037176084,-0.0040582265,-0.059024654,-0.03930523,0.030894207,0.14925215,-0.22610253,0.027001344,0.07431107,0.83377784
-0.37241402,0.0,0.03778104,-0.0044229357,-0.040009663,-0.014858824,-1.0118077,-0.03770749,-0.036238637,0.020764384,0.004750893,5.902269e-05,-0.041013278,0.008077066,-0.01391824,-0.1627399,0.038127616,0.08827474,-1.3804508,-0.050491724,-0.16198193,0.40621138
-0.44341594,0.0,0.067662805,-0.063909456,-0.06577014,-0.16392729,-0.95701355,-0.13510334,0.013475813,-0.030546699,0.002424772,5.881296e-05,0.028014109,0.07638978,-0.06219203,-0.1005722,-0.035679143,-0.077698566,-0.83122593,-0.046659328,0.16490777,-0.41198698
-0.1953418,0.0,-0.07528718,-0.026809664,0.011626482,0.024208691,-0.18477383,-0.5836837,0.02594614,-0.011929922,0.003203641,5.8775076e-05,-0.15620077,0.026749691,-0.024980541,0.02607122,0.03689445,-0.42953107,-0.2120291,-0.01760479,-0.057948355,-1.566984
-0.3254075,0.0,-0.06972051,-0.065397784,0.010716872,-0.00819885,-0.38169268,-0.4336423,0.0022681288,-0.016351743,0.0049015223,5.8580616e-05,0.07362478,0.08795461,-0.005582654,0.020126,0.03872097,-0.06266016,-0.43941474,0.0108951805,-0.060698945,-1.343019
